  片段 2[2.00-2.34(2.56)]:多少人？
    英文时长: 0.34s
    中文时长: 1.11s
    目标时长: 2.56s
    差异: -1.45s
    中文比英文短或相等，无需调整，直接使用原音频
  片段 3[2.56-3.92(4.38)]:哦，我来这里是为了见一个人。
    英文时长: 1.36s
    中文时长: 2.53s
    目标时长: 4.38s
    差异: -1.85s
    中文比英文短或相等，无需调整，直接使用原音频
  片段 4[4.38-5.88(19.79)]:你们想要坐下来吗？
    英文时长: 1.50s
    中文时长: 1.17s
    目标时长: 19.79s
    差异: -18.62s
    中文比英文短或相等，无需调整，直接使用原音频
  片段 5[19.79-20.35(20.41)]:嘿，各位。
    英文时长: 0.56s
    中文时长: 0.89s
    目标时长: 20.41s
    差异: -19.52s
    中文比英文短或相等，无需调整，直接使用原音频
  片段 6[20.41-22.39(22.39)]:欢迎来到星期四的。
    英文时长: 1.98s
    中文时长: 1.71s
    目标时长: 22.39s
    差异: -20.68s
    中文比英文短或相等，无需调整，直接使用原音频
  片段 7[22.39-22.71(23.31)]:多少人？
    英文时长: 0.32s
    中文时长: 0.62s
    目标时长: 23.31s
    差异: -22.69s
    中文比英文短或相等，无需调整，直接使用原音频
  片段 8[23.31-24.23(29.22)]:三个人桌。
    英文时长: 0.92s
    中文时长: 0.95s
    目标时长: 29.22s
    差异: -28.27s
    中文比英文短或相等，无需调整，直接使用原音频
  片段 9[29.22-29.66(30.76)]:好吧。
    英文时长: 0.44s
    中文时长: 1.21s
    目标时长: 30.76s
    差异: -29.55s
    中文比英文短或相等，无需调整，直接使用原音频
  片段 10[30.76-31.68(32.36)]:先说正事吧。
    英文时长: 0.92s
    中文时长: 1.28s
    目标时长: 32.36s
    差异: -31.08s
    中文比英文短或相等，无需调整，直接使用原音频
  片段 11[32.36-33.40(34.42)]:我想为你们道歉。
    英文时长: 1.04s
    中文时长: 1.53s
    目标时长: 34.42s
    差异: -32.89s
    中文比英文短或相等，无需调整，直接使用原音频
  片段 12[34.42-38.08(38.18)]:我本来没料到你们会来，所以我撒谎了。
    英文时长: 3.66s
    中文时长: 4.14s
    目标时长: 38.18s
    差异: -34.04s
    中文比英文短或相等，无需调整，直接使用原音频
  片段 13[38.18-39.48(39.96)]:我是个骗子。
    英文时长: 1.30s
    中文时长: 1.06s
    目标时长: 39.96s
    差异: -38.90s
    中文比英文短或相等，无需调整，直接使用原音频
  片段 14[39.96-41.34(41.42)]:对不起，康拉德。
    英文时长: 1.38s
    中文时长: 2.29s
    目标时长: 41.42s
    差异: -39.13s
    中文比英文短或相等，无需调整，直接使用原音频
  片段 15[41.42-42.26(42.54)]:对不起，彼得。
    英文时长: 0.84s
    中文时长: 1.31s
    目标时长: 42.54s
    差异: -41.23s
    中文比英文短或相等，无需调整，直接使用原音频
  片段 16[42.54-44.46(44.46)]:这应该早就发生了。
    英文时长: 1.92s
    中文时长: 1.25s
    目标时长: 44.46s
    差异: -43.21s
    中文比英文短或相等，无需调整，直接使用原音频
  片段 17[44.46-45.62(45.74)]:是我的错。
    英文时长: 1.16s
    中文时长: 1.03s
    目标时长: 45.74s
    差异: -44.71s
    中文比英文短或相等，无需调整，直接使用原音频
  片段 18[45.74-47.12(47.26)]:再次道歉。
    英文时长: 1.38s
    中文时长: 0.87s
    目标时长: 47.26s
    差异: -46.39s
    中文比英文短或相等，无需调整，直接使用原音频
  片段 19[47.26-50.82(54.70)]:所以，如果你有怒气的话，那这种方式让你生气了。
    英文时长: 3.56s
    中文时长: 4.55s
    目标时长: 54.70s
    差异: -50.15s
    中文比英文短或相等，无需调整，直接使用原音频
  片段 20[54.70-56.30(56.50)]:南希，这个人是谁？
    英文时长: 1.60s
    中文时长: 2.45s
    目标时长: 56.50s
    差异: -54.05s
    中文比英文短或相等，无需调整，直接使用原音频
  片段 27[69.40-70.38(71.58)]:我们为什么来这里？
    英文时长: 0.98s
    中文时长: 1.29s
    目标时长: 71.58s
    差异: -70.29s
    中文比英文短或相等，无需调整，直接使用原音频
  片段 21[56.50-59.12(60.16)]:这是我的商业伙伴康拉德。
    英文时长: 2.62s
    中文时长: 3.15s
    目标时长: 60.16s
    差异: -57.01s
    中文比英文短或相等，无需调整，直接使用原音频
  片段 25[66.28-66.64(68.30)]:没关系。
    英文时长: 0.36s
    中文时长: 0.57s
    目标时长: 68.30s
    差异: -67.73s
    中文比英文短或相等，无需调整，直接使用原音频
  片段 23[61.84-64.12(64.20)]:但我只是另一个失业的黑人。
    英文时长: 2.28s
    中文时长: 2.55s
    目标时长: 64.20s
    差异: -61.65s
    中文比英文短或相等，无需调整，直接使用原音频
  片段 22[60.16-61.28(61.84)]:不，我不是。
    英文时长: 1.12s
    中文时长: 1.42s
    目标时长: 61.84s
    差异: -60.42s
    中文比英文短或相等，无需调整，直接使用原音频
  片段 26[68.30-68.74(69.40)]:真的。
    英文时长: 0.44s
    中文时长: 0.95s
    目标时长: 69.40s
    差异: -68.45s
    中文比英文短或相等，无需调整，直接使用原音频
  片段 24[64.20-66.28(66.28)]:事实上，我这辈子从未见过她。
    英文时长: 2.08s
    中文时长: 2.71s
    目标时长: 66.28s
    差异: -63.57s
    中文比英文短或相等，无需调整，直接使用原音频
  片段 29[74.46-76.50(76.70)]:我认为如果我们见面的话会更好。
    英文时长: 2.04s
    中文时长: 2.05s
    目标时长: 76.70s
    差异: -74.65s
    中文比英文短或相等，无需调整，直接使用原音频
  片段 32[81.94-82.96(83.30)]:你可以问彼得任何问题。
    英文时长: 1.02s
    中文时长: 1.61s
    目标时长: 83.30s
    差异: -81.69s
    中文比英文短或相等，无需调整，直接使用原音频
  片段 35[85.70-86.28(87.04)]:你是丈夫。
    英文时长: 0.58s
    中文时长: 0.79s
    目标时长: 87.04s
    差异: -86.25s
    中文比英文短或相等，无需调整，直接使用原音频
  片段 33[83.30-83.94(84.14)]:我不这么认为。
    英文时长: 0.64s
    中文时长: 1.07s
    目标时长: 84.14s
    差异: -83.07s
    中文比英文短或相等，无需调整，直接使用原音频
  片段 31[80.10-81.60(81.94)]:克劳德，轮到你了。
    英文时长: 1.50s
    中文时长: 2.53s
    目标时长: 81.94s
    差异: -79.41s
    中文比英文短或相等，无需调整，直接使用原音频
  片段 37[88.30-90.98(93.10)]:而你是伴侣。
    英文时长: 2.68s
    中文时长: 2.28s
    目标时长: 93.10s
    差异: -90.82s
    中文比英文短或相等，无需调整，直接使用原音频
  片段 30[76.70-78.30(80.10)]:我们互相了解了。
    英文时长: 1.60s
    中文时长: 2.21s
    目标时长: 80.10s
    差异: -77.89s
    中文比英文短或相等，无需调整，直接使用原音频
  片段 28[71.58-74.28(74.46)]:康拉德对我们的安排有些不满。
    英文时长: 2.70s
    中文时长: 2.69s
    目标时长: 74.46s
    差异: -71.77s
    中文比英文短或相等，无需调整，直接使用原音频
  片段 41[100.06-100.80(102.14)]:我会为了她这么做。
    英文时长: 0.74s
    中文时长: 1.83s
    目标时长: 102.14s
    差异: -100.31s
    中文比英文短或相等，无需调整，直接使用原音频
  片段 38[93.10-93.54(94.08)]:克劳德？
    英文时长: 0.44s
    中文时长: 0.93s
    目标时长: 94.08s
    差异: -93.15s
    中文比英文短或相等，无需调整，直接使用原音频
  片段 43[104.88-107.34(108.32)]:这段合作关系是怎么开始的？
    英文时长: 2.46s
    中文时长: 3.11s
    目标时长: 108.32s
    差异: -105.21s
    中文比英文短或相等，无需调整，直接使用原音频
  片段 46[112.26-114.58(114.76)]:伙计们……你们的男孩在DEA那边，知道我吗？
    英文时长: 2.32s
    中文时长: 3.37s
    目标时长: 114.76s
    差异: -111.39s
    中文比英文短或相等，无需调整，直接使用原音频
  片段 39[94.08-95.98(97.76)]:为什么冒毁掉你整个职业生涯的险，伙计？
    英文时长: 1.90s
    中文时长: 3.78s
    目标时长: 97.76s
    差异: -93.98s
    中文比英文短或相等，无需调整，直接使用原音频
  片段 34[84.14-85.26(85.70)]:彼得，请你。
    英文时长: 1.12s
    中文时长: 2.37s
    目标时长: 85.70s
    差异: -83.33s
    中文比英文短或相等，无需调整，直接使用原音频
  片段 45[111.02-111.66(112.26)]:哈哈，这挺有意思的。
    英文时长: 0.64s
    中文时长: 3.09s
    目标时长: 112.26s
    差异: -109.17s
    中文比英文短或相等，无需调整，直接使用原音频
  片段 1[0.00-2.00(2.00)]:你好，欢迎来到星期四的。
    英文时长: 2.00s
    中文时长: 2.50s
